,TIME,MEM,CPU,NETOUT,NETIN,DISK,Current Slot,Peers Connected
0,0.0,0.07933984375,4.5,0.0,0.0,0.0,0.064,0.0
1,0.0005555555555555556,0.08062890625,3.1,1.916000000164786e-06,9.34100000449689e-06,0.0,0.064,0.0
2,0.0011111111111111111,0.08648046875,2.6,5.522000000382832e-06,2.0238000004610514e-05,0.0,0.064,0.0
3,0.0016666666666666668,0.09108984375,6.0,8.383000000321772e-06,2.8099000002839603e-05,0.0,0.064,0.0
4,0.0022222222222222222,0.09571875,6.1,1.0908000000199535e-05,3.623599999991711e-05,0.0,0.064,0.0
5,0.0027777777777777775,0.10069140625,5.5,1.6155000000253494e-05,4.583500000444474e-05,0.0,0.064,0.0
6,0.0033333333333333335,0.1091796875,3.5,1.748600000064471e-05,5.4282000004604925e-05,0.0,0.064,0.0
7,0.0038888888888888888,0.15142578125,61.3,2.2300000000541332e-05,6.29700000063167e-05,0.0,0.064,0.0
8,0.0044444444444444444,0.14475390625,11.1,3.390300000046409e-05,0.0001010630000018864,1.23e-07,0.064,0.0
9,0.005,0.155765625,8.0,7.41120000002411e-05,0.006702736000006553,1.23e-07,0.064,0.0
10,0.005555555555555555,0.1618515625,57.4,7.974400000057358e-05,0.006710838000006334,1.23e-07,0.064,0.0
11,0.0061111111111111106,0.163046875,54.8,8.638100000007398e-05,0.006719945000004373,1.23e-07,0.064,0.0
12,0.006666666666666667,0.16375,51.3,9.316800000033254e-05,0.006728819000003569,1.23e-07,0.064,0.0
13,0.007222222222222223,0.16550390625,52.5,9.887800000069546e-05,0.006737005000002682,1.23e-07,0.064,0.0
14,0.0077777777777777776,0.166515625,51.7,0.00010196200000063981,0.006745227000006708,1.23e-07,0.064,0.0
15,0.008333333333333333,0.1696015625,51.3,0.0001047630000002755,0.00675468300000648,1.23e-07,0.064,0.0
16,0.008888888888888889,0.1731875,52.0,0.00011137200000030134,0.006763880000005883,1.23e-07,0.064,0.0
17,0.009722222222222222,0.17729296875,52.0,0.0001145650000007663,0.0067728540000025535,1.23e-07,0.064,0.0
18,0.010277777777777778,0.18244921875,51.3,0.0001227050000006784,0.006782390000000305,1.23e-07,0.064,0.0
19,0.010833333333333334,0.18733203125,51.8,0.00013111100000060105,0.006791905000005499,1.23e-07,0.064,0.0
20,0.01138888888888889,0.193,51.7,0.00013412500000049477,0.00680013300000428,1.23e-07,0.064,0.0
21,0.011944444444444445,0.198671875,51.0,0.00013882700000067416,0.006807975000003353,1.23e-07,0.064,0.0
22,0.0125,0.197703125,51.5,0.00014328900000055,0.006815693000004103,1.23e-07,0.064,0.0
23,0.013055555555555555,0.197703125,52.3,0.00014553100000011909,0.006825000000004366,1.23e-07,0.064,0.0
24,0.01361111111111111,0.19773046875,50.5,0.00015128500000082567,0.006834640000000945,1.23e-07,0.064,0.0
25,0.014166666666666666,0.19773046875,52.0,0.00015554900000006456,0.006842628000005789,1.23e-07,0.064,0.0
26,0.014722222222222222,0.19773046875,51.3,0.00015759300000081565,0.006850689000006242,1.23e-07,0.064,0.0
27,0.015277777777777777,0.19773046875,51.5,0.00016304800000034448,0.00685862000000634,1.23e-07,0.064,0.0
28,0.01583333333333333,0.201671875,58.1,0.0001681940000007671,0.0068671040000044745,1.23e-07,0.064,0.0
29,0.016388888888888887,0.201859375,51.7,0.00017068300000028103,0.006876365000003716,1.23e-07,0.064,0.0
30,0.016944444444444443,0.201859375,52.8,0.000175122000000556,0.006888268000002426,1.23e-07,0.064,0.0
31,0.0175,0.201859375,50.3,0.0001775900000002366,0.006903433000006771,1.23e-07,0.064,0.0
32,0.018055555555555554,0.201859375,52.5,0.00018360300000040298,0.006920143000003009,1.23e-07,0.064,0.0
33,0.018611111111111113,0.201859375,52.5,0.00018881600000077015,0.0069350330000015675,1.23e-07,0.064,0.0
34,0.019166666666666665,0.20390625,57.4,0.00019311700000071143,0.006951244000003499,1.23e-07,0.064,0.0
35,0.01972222222222222,0.20390625,51.8,0.00019726100000025325,0.006962202000002435,1.23e-07,0.064,0.0
36,0.020277777777777777,0.20394140625,52.2,0.000199547000000166,0.006970036000006076,1.23e-07,0.064,0.0
37,0.020833333333333332,0.2041953125,53.7,0.00020516000000043278,0.006979601000006369,1.23e-07,0.064,0.0
38,0.02138888888888889,0.2064609375,51.8,0.00021017700000084004,0.006989612000004854,1.23e-07,0.064,0.0
39,0.021944444444444444,0.2064609375,51.8,0.0002130350000006729,0.0069992660000061735,1.23e-07,0.064,0.0
40,0.022500000000000003,0.2064609375,51.5,0.00021631900000011227,0.007009562000006553,1.23e-07,0.064,0.0
41,0.023055555555555555,0.2064609375,51.5,0.00021897600000011152,0.0070182690000001454,1.23e-07,0.064,0.0
42,0.023611111111111114,0.2064609375,51.5,0.00022084100000029137,0.00702733000000444,1.23e-07,0.064,0.0
43,0.024166666666666666,0.2064609375,50.5,0.00022261100000014265,0.0070365789999996195,1.23e-07,0.064,0.0
44,0.024722222222222222,0.2064609375,51.5,0.00022816300000067714,0.007045890000001236,1.23e-07,0.064,0.0
45,0.025277777777777777,0.2064609375,51.7,0.0002317860000002838,0.0070547440000009376,1.23e-07,0.064,0.0
46,0.025833333333333333,0.2064609375,50.5,0.00023317200000019513,0.007062712000006286,1.23e-07,0.064,0.0
47,0.02638888888888889,0.2064609375,51.7,0.0002361960000007457,0.007072251000005053,1.23e-07,0.064,0.0
48,0.026944444444444444,0.20745703125,51.3,0.0002385520000007091,0.007083975000001374,1.23e-07,0.064,0.0
