Time (hours),Current Slot,Peers Connected
0.0,0, 1
0.009525277747048273,0, 11
0.012990833388434516,0, 12
0.016191944413714937,253, 10
0.01952527774704827,253, 8
0.022858611080381605,253, 9
0.02619194441371494,512, 14
0.029525277747048273,512, 14
0.03285861108038161,768, 23
0.03619194441371494,768, 21
0.039525277747048275,1024, 23
0.0428586110803816,1024, 25
0.046191944413714936,1280, 25
0.04952527774704827,1280, 30
0.05285888883802626,1536, 32
0.05619194441371494,1536, 39
0.05952527774704827,1792, 39
0.0628586110803816,1792, 41
0.06619194441371494,2048, 46
0.06952527774704827,2048, 47
0.07285861108038161,2304, 46
0.07619194441371493,2304, 50
0.07952527774704828,2560, 52
0.0828586110803816,2560, 52
0.08619194441371494,2816, 51
0.08952527774704827,3072, 50
0.09285861108038161,3072, 51
0.09619222217135959,3272, 49
0.09952527774704827,3328, 48
0.1028586110803816,3584, 48
0.10619194441371493,3584, 48
0.10952527774704827,3840, 46
0.1128586110803816,3840, 46
0.11619194441371494,4096, 50
0.11952555550469293,4096, 48
0.12285861108038161,4352, 49
0.12619194441371495,4352, 50
0.12952527774704828,4608, 49
0.1328586110803816,4608, 49
0.13619194441371493,4864, 49
0.13952527774704826,4864, 51
0.14291194438934327,5120, 50
0.14619194441371494,5120, 50
0.14952527774704827,5376, 50
0.1528586110803816,5376, 49
0.15620361116197373,5632, 50
0.1595255555046929,5632, 50
0.1628586110803816,5632, 49
0.16619194441371493,5888, 48
0.16952527774704826,5888, 48
0.17286972218089633,6143, 49
0.17619194441371494,6143, 50
0.17952527774704827,6400, 50
0.1828586110803816,6400, 51
0.18619222217135958,6655, 51
0.18952527774704828,6655, 50
0.1928586110803816,6912, 49
0.19619194441371493,6912, 49
0.19954583326975506,6912, 50
0.20290000001589456,7168, 50
0.2061922221713596,7168, 51
0.20952527774704827,7424, 50
0.21291250003708734,7424, 52
0.21619194441371495,7679, 53
0.219526111152437,7679, 51
0.2228586110803816,7679, 51
0.2261922221713596,7936, 50
0.22963361104329427,7936, 51
0.2328586110803816,7936, 51
0.2361922221713596,8192, 50
0.23952527774704827,8192, 51
0.2428586110803816,8446, 50
0.24619194441371495,8446, 50
0.24952555550469294,8446, 53
0.2528586110803816,8704, 51
0.2561924999290042,8704, 51
0.25952527774704826,8960, 51
0.2631702778074477,8960, 53
0.26619194441371496,8960, 53
0.26952527774704826,9216, 50
0.2728586110803816,9216, 50
0.2761919444137149,9472, 51
0.2795252777470483,9472, 50
0.28285861108038163,9472, 50
0.28620361116197374,9728, 50
0.2895252777470483,9728, 52
0.2928586110803816,9984, 51
0.29620416667726307,9984, 49
0.2995252777470483,10239, 49
0.3028586110803816,10239, 50
0.3061922221713596,10239, 51
0.3095252777470483,10496, 49
0.3128586110803816,10496, 49
0.31619194441371495,10752, 50
0.3198747221628825,10752, 51
0.3228586110803816,10752, 49
0.32619194441371496,11008, 50
0.32952527774704826,11008, 49
0.3328586110803816,11008, 51
0.3365877778000302,11264, 51
0.33952555550469293,11264, 52
0.34285888883802623,11520, 50
0.3461922221713596,11520, 51
0.3495252777470483,11520, 51
0.3528586110803816,11776, 50
0.3565991666581896,11776, 50
0.3595252777470483,11776, 50
0.3628586110803816,12032, 50
0.366196944448683,12032, 48
0.3695252777470483,12032, 48
