Time (min),Current Slot
0.0,0
0.1999833345413208,0
0.40791667302449547,0
0.5999833345413208,253
0.7999833345413208,253
0.9999833345413208,253
1.199983334541321,512
1.3999833345413208,512
1.5999833345413208,768
1.7999833345413208,768
1.9999833345413207,1024
2.199983334541321,1024
2.3999833345413206,1280
2.599983334541321,1280
2.8,1536
2.9999833345413207,1536
3.199983334541321,1792
3.3999833345413206,1792
3.599983334541321,2048
3.799983334541321,2048
3.9999833345413207,2304
4.1999833345413204,2304
4.399983334541321,2560
4.599983334541321,2560
4.799983334541321,2816
4.999983334541321,3072
5.1999833345413204,3072
5.4,3272
5.599983334541321,3328
5.799983334541321,3584
5.999983334541321,3584
6.1999833345413204,3840
6.399983334541321,3840
6.599983334541321,4096
6.8,4096
6.999983334541321,4352
7.1999833345413204,4352
7.399983334541321,4608
7.599983334541321,4608
7.799983334541321,4864
7.999983334541321,4864
8.20318333307902,5120
8.399983334541322,5120
8.59998333454132,5376
8.79998333454132,5376
9.000683339436849,5632
9.2,5632
9.399983334541322,5632
9.59998333454132,5888
9.79998333454132,5888
10.000650000572204,6143
10.19998333454132,6143
10.399983334541322,6400
10.59998333454132,6400
10.8,6655
10.999983334541321,6655
11.19998333454132,6912
11.399983334541322,6912
11.601216665903728,6912
11.802466670672098,7168
12.0,7168
12.19998333454132,7424
12.403216671943664,7424
12.59998333454132,7679
12.800033338864644,7679
12.999983334541321,7679
13.2,7936
13.40648333231608,7936
13.59998333454132,7936
13.8,8192
13.999983334541321,8192
14.19998333454132,8446
14.399983334541322,8446
14.6,8446
14.79998333454132,8704
15.000016665458679,8704
15.19998333454132,8960
15.418683338165284,8960
15.59998333454132,8960
15.79998333454132,9216
15.999983334541321,9216
16.199983334541322,9472
16.39998333454132,9472
16.59998333454132,9472
16.800683339436848,9728
16.99998333454132,9728
17.199983334541322,9984
17.400716670354207,9984
17.59998333454132,10239
17.79998333454132,10239
18.0,10239
18.199983334541322,10496
18.39998333454132,10496
18.59998333454132,10752
18.820949999491372,10752
18.99998333454132,10752
19.199983334541322,11008
19.39998333454132,11008
19.59998333454132,11008
19.823733337720235,11264
20.0,11264
20.2,11520
20.4,11520
20.59998333454132,11520
20.79998333454132,11776
21.0244166692098,11776
21.199983334541322,11776
21.39998333454132,12032
21.600283336639404,12032
21.79998333454132,12032
21.99998333454132,12287
22.199983334541322,12287
22.39998333454132,12287
22.600066669782002,12544
22.79998333454132,12544
22.99998333454132,12544
23.199983334541322,12800
23.39998333454132,12800
23.59998333454132,13056
23.79998333454132,13056
23.99998333454132,13056
24.199983334541322,13312
24.39998333454132,13312
24.59998333454132,13568
24.79998333454132,13568
24.99998333454132,13824
25.199983334541322,13824
25.39998333454132,13824
25.59998333454132,14080
25.79998333454132,14080
25.99998333454132,14336
26.199983334541322,14336
26.39998333454132,14336
26.59998333454132,14336
26.79998333454132,14590
26.99998333454132,14590
27.2,14590
27.39998333454132,14845
27.59998333454132,14845
27.79998333454132,14845
27.99998333454132,15104
28.199983334541322,15104
28.39998333454132,15104
28.59998333454132,15359
28.79998333454132,15359
28.99998333454132,15359
29.199983334541322,15615
29.39998333454132,15615
29.59998333454132,15615
29.79998333454132,15871
29.99998333454132,15871
30.199983334541322,15871
30.4,16128
30.59998333454132,16128
30.79998333454132,16384
31.0,16384
31.200133339564005,16384
31.39998333454132,16640
31.59998333454132,16640
31.79998333454132,16640
31.99998333454132,16896
32.19998333454132,16896
32.39998333454132,17151
32.59998333454132,17151
32.799983334541324,17151
32.99998333454132,17408
33.19998333454132,17408
33.39998333454132,17408
33.6,17664
33.799983334541324,17664
33.99998333454132,17664
34.19998333454132,17920
34.39998333454132,17920
34.59998333454132,17920
34.799983334541324,18176
34.99998333454132,18176
35.19998333454132,18176
35.39998333454132,18432
35.600133339564,18432
35.800316667556764,18688
35.99998333454132,18688
36.19998333454132,18688
36.39998333454132,18944
36.59998333454132,18944
36.799983334541324,18944
36.99998333454132,19199
37.20060000419617,19199
37.39998333454132,19199
37.59998333454132,19455
37.799983334541324,19455
37.99998333454132,19712
38.19996666908264,19712
38.39998333454132,19712
38.6,19968
38.799983334541324,19968
38.99998333454132,20224
39.200150005022685,20224
39.39998333454132,20224
39.59998333454132,20480
39.799983334541324,20480
39.99998333454132,20736
40.19998333454132,20736
40.39998333454132,20736
40.59998333454132,20991
40.799983334541324,20991
40.99998333454132,21248
41.19998333454132,21248
41.39998333454132,21248
41.60026667118073,21504
41.799983334541324,21504
41.99998333454132,21504
42.19998333454132,21760
42.39998333454132,21760
42.59998333454132,21760
42.799983334541324,22015
42.99998333454132,22015
43.2,22015
43.39998333454132,22271
43.59998333454132,22271
43.799983334541324,22271
43.99998333454132,22528
44.19998333454132,22528
44.4,22528
44.59998333454132,22784
44.799983334541324,22784
44.99998333454132,22784
45.19998333454132,23040
45.39998333454132,23040
45.59998333454132,23296
45.799983334541324,23296
45.99998333454132,23296
46.19998333454132,23552
46.39998333454132,23552
46.59998333454132,23808
46.799983334541324,23808
46.99998333454132,23808
47.2,24064
47.39998333454132,24064
47.59998333454132,24320
47.799983334541324,24320
47.99998333454132,24320
48.19998333454132,24575
48.39998333454132,24575
48.60001666545868,24831
48.799983334541324,24831
48.99998333454132,24831
49.19998333454132,25088
49.39998333454132,25088
49.59998333454132,25344
49.799983334541324,25344
49.99998333454132,25600
50.20060000419617,25600
50.39998333454132,25600
50.59998333454132,25856
50.799983334541324,25856
50.99998333454132,26112
51.19998333454132,26112
51.39998333454132,26112
51.59998333454132,26368
51.8,26368
51.99998333454132,26368
52.2,26624
52.39998333454132,26624
52.59998333454132,26878
52.799983334541324,26878
52.99998333454132,26878
53.2,27136
53.39998333454132,27136
53.59998333454132,27390
53.8,27390
53.99998333454132,27648
54.19998333454132,27648
54.39998333454132,27648
54.59998333454132,27904
54.799983334541324,27904
54.99998333454132,28160
55.19998333454132,28160
55.39998333454132,28415
55.59998333454132,28415
55.799983334541324,28415
55.99998333454132,28672
56.19998333454132,28672
56.39998333454132,28928
56.59998333454132,28928
56.799983334541324,28928
56.99998333454132,29184
57.200066669782004,29184
57.39998333454132,29440
57.6,29440
57.799983334541324,29694
57.99998333454132,29694
58.19998333454132,29694
58.39998333454132,29949
58.59998333454132,29949
58.799983334541324,30208
58.99998333454132,30464
59.19998333454132,30464
59.39998333454132,30464
59.59998333454132,30720
59.80008333524068,30973
59.99998333454132,30973
60.19998333454132,31229
60.39998333454132,31229
60.59998333454132,31229
60.799983334541324,31488
60.99998333454132,31488
61.19998333454132,31744
61.39998333454132,31744
61.59998333454132,32000
61.799983334541324,32256
61.99998333454132,32256
62.2,32511
62.39998333454132,32511
62.59998333454132,32511
62.799983334541324,32768
62.99998333454132,32768
63.19998333454132,33024
63.39998333454132,33024
63.59998333454132,33280
63.799983334541324,33280
64.0,33535
64.19998333454132,33535
64.39998333454132,33791
64.59998333454132,33791
64.79998333454132,34048
65.0,34048
65.19998333454132,34303
65.39998333454132,34303
65.6,34559
65.79998333454132,34559
65.99998333454133,34816
66.19998333454132,34816
66.39998333454132,35072
66.59998333454132,35072
66.79998333454132,35328
66.99998333454133,35328
67.20003333886464,35584
67.39998333454132,35584
67.59998333454132,35840
67.79998333454132,35840
68.0,36096
68.19998333454132,36096
68.39998333454132,36351
68.6,36351
68.79998333454132,36608
68.99998333454133,36608
69.19998333454132,36862
69.39998333454132,36862
69.59998333454132,37120
69.79998333454132,37120
69.99998333454133,37375
70.19998333454132,37375
70.39998333454132,37631
70.59998333454132,37631
70.79998333454132,37888
70.99998333454133,37888
71.19998333454132,37888
71.39998333454132,38144
71.59998333454132,38144
71.79998333454132,38399
71.99998333454133,38399
72.19998333454132,38656
72.4,38656
72.59998333454132,38912
72.79998333454132,38912
72.99998333454133,39168
73.19998333454132,39168
73.39998333454132,39423
73.59998333454132,39423
73.79998333454132,39423
73.99998333454133,39680
74.19998333454132,39680
74.39998333454132,39936
74.60006666978201,39936
74.79998333454132,40192
74.99998333454133,40192
75.19998333454132,40448
75.39998333454132,40448
75.59998333454132,40704
75.79998333454132,40704
75.99998333454133,40960
76.19998333454132,40960
76.39998333454132,40960
76.60006666978201,41215
76.79998333454132,41215
76.99998333454133,41472
77.19998333454132,41472
77.39998333454132,41472
77.59998333454132,41728
77.79998333454132,41728
77.99998333454133,41984
78.19998333454132,41984
78.39998333454132,42239
78.59998333454132,42239
78.79998333454132,42495
79.0,42495
79.19998333454132,42495
79.39998333454132,42752
79.59998333454132,42752
79.79998333454132,43007
79.99998333454133,43007
80.19998333454132,43264
80.4,43264
80.59998333454132,43264
80.80005000432332,43520
80.99998333454133,43520
81.19998333454132,43776
81.39998333454132,43776
81.6,43776
81.79998333454132,44032
81.99998333454133,44032
82.19998333454132,44288
82.39998333454132,44288
82.59998333454132,44543
82.79998333454132,44543
82.99998333454133,44543
83.19998333454132,44800
83.39998333454132,44800
83.60001666545868,45056
83.79998333454132,45056
83.99998333454133,45312
84.19998333454132,45312
84.39998333454132,45312
84.59998333454132,45568
84.79998333454132,45568
84.99998333454133,45824
85.19998333454132,45824
85.40001666545868,46080
85.59998333454132,46080
85.79998333454132,46080
85.99998333454133,46335
86.19998333454132,46335
86.39998333454132,46590
86.59998333454132,46590
86.79998333454132,46590
86.99998333454133,46848
87.19998333454132,46848
87.39998333454132,46848
87.59998333454132,47104
87.79998333454132,47104
87.99998333454133,47360
88.19998333454132,47360
88.39998333454132,47360
88.59998333454132,47616
88.79998333454132,47616
88.99998333454133,47872
89.19998333454132,47872
89.39998333454132,47872
89.6,48126
89.79998333454132,48126
89.99998333454133,48384
90.19998333454132,48384
