Time (hours),Current Slot,Peers Connected
0.01540777775976393,0.0,1
0.018839722209506565,0.034,20
0.022201944457160103,0.095,19
0.025745277802149455,0.161,31
0.02882305555873447,0.199,27
0.0321655555566152,0.259,38
0.0356716666618983,0.32,33
0.03882416665554047,0.378,32
0.042490555577807954,0.427,32
0.045513611104753285,0.485,32
0.048935555550787185,0.55,29
0.0522630555762185,0.608,27
0.05553944442007277,0.671,27
0.0592233333322737,0.725,27
0.06254722224341498,0.784,28
0.06550194442272186,0.842,31
0.06888805554972754,0.912,31
0.07220972220102946,0.978,32
0.0759063888920678,1.024,32
0.07923138890001509,1.056,30
0.08219027777512868,1.083,30
0.08551333334710863,1.111,29
0.08893416663010915,1.14,30
0.09221194446086883,1.168,31
0.09551222218407525,1.239,32
0.09916666666666667,1.313,34
0.10222194446457757,1.381,35
0.10556333329942491,1.457,37
0.1091558333237966,1.533,37
0.11218527774016063,1.597,37
0.11562138888570997,1.664,39
0.1188872222105662,1.711,42
0.12229166666666667,1.77,43
0.12550138890743257,1.834,43
0.12886805554231007,1.907,43
0.13227833330631256,1.984,44
0.13553888890478347,2.053,44
0.13884694443808662,2.119,45
0.1422133333153195,2.198,46
0.14563666668203143,2.272,47
0.1488411111301846,2.356,48
0.15251194443967608,2.433,47
0.15553833332326678,2.494,47
0.1592308333184984,2.563,47
0.16256833334763846,2.631,47
0.16556861109203763,2.701,47
0.16918666667408414,2.784,47
0.17219722224606407,2.861,47
0.17560388889577655,2.946,46
0.17881944444444445,3.04,46
0.18221305555767484,3.113,47
0.185576666659779,3.201,45
0.18905777778890398,3.296,45
0.19218305554654863,3.363,46
0.19559055553542243,3.436,48
0.19885638886027865,3.504,47
0.20220916668574015,3.58,47
0.20551972223652734,3.664,46
0.20890722221798366,3.73,46
0.2122041666507721,3.759,46
0.21579916662640042,3.795,45
0.21886305557356941,3.852,46
0.22224555552005767,3.92,46
0.2255397222439448,3.974,46
0.22885111113389334,4.05,45
0.23219277779261271,4.126,48
0.23551111108726924,4.205,49
0.23903305557039048,4.296,51
0.24222138888306088,4.383,49
0.24555305553807152,4.455,48
0.2491899999645021,4.525,49
0.25223166664441427,4.586,49
0.25550833331214057,4.651,48
0.25890194442537096,4.724,48
0.26218194444974263,4.77,50
0.2655122221840753,4.826,50
0.26886444442802004,4.896,50
0.2724361111058129,4.975,50
0.27554555555184684,5.042,50
0.27885916663540733,5.116,51
0.2822024999724494,5.179,51
0.2855322221914927,5.238,51
0.28887194441424474,5.305,51
0.2923436111211777,5.376,50
0.29561777777141995,5.44,51
0.29888444443543755,5.504,49
0.302188611096806,5.573,49
0.30560083329677584,5.643,49
0.30888194441795347,5.711,51
0.31223166664441426,5.783,51
0.3156005555391312,5.809,51
0.3188944444391463,5.832,50
0.3222158333328035,5.894,51
0.32574916667408416,5.958,54
0.3288822222418255,6.017,54
0.3322119444608688,6.089,54
0.3356324999862247,6.176,56
0.3388802777396308,6.254,56
0.34237361113230386,6.336,56
0.3456899999909931,6.416,56
0.3488724999957614,6.492,56
0.3523991666899787,6.579,56
0.35552972224023605,6.65,57
0.3590586111280653,6.722,59
0.36220777776506213,6.788,59
0.3655372222264608,6.853,59
0.3688797222243415,6.922,59
0.37251861108673945,6.987,59
0.3756977778010898,7.04,60
0.37890777779950036,7.101,59
0.3824283332957162,7.163,63
0.3855291666587194,7.222,63
0.38893027775817446,7.289,65
0.3921966666645474,7.359,65
0.39553472220897673,7.459,65
0.399107222225931,7.557,65
0.40218194444974265,7.625,64
0.40557388888465035,7.705,63
0.40892388886875575,7.781,63
0.4122475000222524,7.848,62
0.4155130555232366,7.922,63
0.4189263888862398,7.969,64
0.4223122221893734,8.0,64
0.42579805552959443,8.035,65
0.4290894444121255,8.079,65
0.432195833325386,8.135,65
0.4355386110809114,8.22,65
0.43904388891326057,8.293,65
0.4421783333354526,8.352,65
0.44568444444073574,8.416,64
0.44891527778572504,8.482,65
0.45256249997350906,8.544,65
0.4555797221925523,8.61,67
0.4590791666507721,8.691,67
0.4621880555152893,8.759,67
0.4655447222126855,8.821,68
0.46886611110634274,8.87,68
0.4723772222465939,8.937,68
0.47552361110846203,9.0,67
0.47913944443066914,9.071,66
0.48238722218407526,9.121,67
0.48563222222858005,9.184,66
